date,ticker,rank,scorer_score,daily_ic,scored_count,regime,rating,accepted,duration_sec,model,report_dir,error,fwd_5d,bench_5d,alpha_5d,fwd_max_dd_5d,bench_max_dd_5d,fwd_vol_5d,bench_vol_5d,fwd_20d,bench_20d,alpha_20d,fwd_max_dd_20d,bench_max_dd_20d,fwd_vol_20d,bench_vol_20d,fwd_60d,bench_60d,alpha_60d,fwd_max_dd_60d,bench_max_dd_60d,fwd_vol_60d,bench_vol_60d,fwd_120d,bench_120d,alpha_120d,fwd_max_dd_120d,bench_max_dd_120d,fwd_vol_120d,bench_vol_120d,spy_trailing_60d
2024-11-25,LITE,5,0.8786,0.1994788402924924,110,bull,SELL,0,218.5,gemini-3.1-pro-preview,docs/research/acceptance_momentum_reports/2024-11-25_LITE,,0.09105541503793978,0.011670690085740433,0.07938472495219934,-0.03690503564037717,-0.003030050778323412,0.6553054404841863,0.06281134143619098,-0.014830995631179653,0.0011487555148589938,-0.015979751146038647,-0.12644889357218114,-0.035718398841743104,0.5241896752186075,0.1350747351045094,-0.1664750517360313,-0.010172313327228859,-0.15630273840880243,-0.29876469416218365,-0.044948256856583324,0.6877950512247804,0.12861465183511858,-0.12761554380317325,-0.02923499542162648,-0.09838054838154676,-0.506276150627615,-0.18998906889856904,0.809047775543024,0.2599255840530606,0.06005180244110138
2023-06-01,IONQ,4,0.8755,0.1664113788399193,105,bull,SELL,0,204.7,gemini-3.1-pro-preview,docs/research/acceptance_momentum_reports/2023-06-01_IONQ,,0.1442516268980477,0.004627033090297161,0.13962459380775055,-0.03963414634146356,-0.0034577015629744245,1.061356468873842,0.05932035977545321,0.4642082429501084,0.03708637128435222,0.42712187166575616,-0.13427230046948346,-0.025214640759150586,1.0818107148793037,0.09908423164688271,0.7895878524945769,0.04963544587773418,0.7399524066168427,-0.3449144008056395,-0.04696476550383377,1.028818117083355,0.10563135052193204,0.34707158351409967,0.06332959431669463,0.283741989197405,-0.5216515609264853,-0.10290744664584217,0.9467415552952888,0.11949170811754581,0.059130740452456906
2022-09-14,IONS,2,0.7969,0.0917024888920998,94,bull,SELL,0,184.0,gemini-3.1-pro-preview,docs/research/acceptance_momentum_reports/2022-09-14_IONS,,-0.053063802905874986,-0.04075669024915405,-0.012307112656720937,-0.05306380290587498,-0.04075669024915407,0.26031289748335906,0.15121580828571984,-0.038323857654243,-0.061904029529375515,0.023580171875132512,-0.12086755106338176,-0.08602481287808883,0.34072081350031086,0.26555545469875186,-0.21036007580543276,0.008100071772787779,-0.21846014757822052,-0.2103600758054328,-0.08602481287808883,0.3619605204923641,0.25836213509747147,-0.26805643293324916,0.003691171947093196,-0.27174760488034233,-0.2680564329332492,-0.08602481287808883,0.3423580372806505,0.21963039882931057,0.078554638386268
2025-07-10,ALGM,4,0.8338,0.1751779892208397,113,bull,SELL,0,190.2,gemini-3.1-pro-preview,docs/research/acceptance_momentum_reports/2025-07-10_ALGM,,-0.0038084874863982747,0.006350020846028088,-0.010158508332426363,-0.03509249183895535,-0.004273299082921178,0.297056499473712,0.06298136704473009,-0.16294885745375404,0.02174401077579286,-0.1846928682295469,-0.16430903155603915,-0.024140637262595965,0.4004718267256757,0.10359826450152158,-0.2323177366702938,0.07695391424264778,-0.30927165091294156,-0.23231773667029376,-0.024140637262595965,0.35471277507600757,0.08587079732964725,-0.2823721436343852,0.09348641801096814,-0.3758585616453533,-0.3797606093579978,-0.050713568716449275,0.41223689984244555,0.1094061799914212,0.1720792598419298
2023-12-21,NSIT,4,0.8353,-0.1692235349438664,107,bull,BUY,1,210.3,gemini-3.1-pro-preview,docs/research/acceptance_momentum_reports/2023-12-21_NSIT,,-0.003495517844054826,-0.0021112635912593687,-0.0013842542527954574,-0.007914234396048436,-0.008475109610019071,0.05918248675359338,0.06151941939234569,0.0435248350904888,0.02478623456138501,0.018738600529103793,-0.03427945319837189,-0.019740292433237605,0.19645809594663796,0.0921965860379064,0.0548006991035688,0.1025018473556425,-0.047701148252073694,-0.0712179984484097,-0.019740292433237605,0.21833945703866245,0.1102512382060713,0.13581778203754866,0.15507231077800074,-0.01925452874045208,-0.10411171450737,-0.05353900261865141,0.2548322203662374,0.1088558088649395,0.10949419082267334
2023-08-22,ACMR,2,0.847,0.1216061667128498,106,bull,SELL,0,225.9,gemini-3.1-pro-preview,docs/research/acceptance_momentum_reports/2023-08-22_ACMR,,0.05317848410757953,0.018012324221836035,0.035166159885743495,-0.06479217603911969,-0.013859106606776028,0.8281643870627686,0.1669334762070994,-0.05134474327628361,-0.02627361578222691,-0.025071127494056704,-0.2093734080489048,-0.04388395132870859,0.6318915047539495,0.1316975457914883,0.09596577017114917,0.01625172110240852,0.07971404906874065,-0.3617339312406578,-0.08978479132959516,0.8537270356912291,0.1390783766323151,0.20904645476772626,0.12536397083718942,0.08368248393053684,-0.3617339312406578,-0.08978479132959516,0.7702201265324955,0.12177557771796887,0.05667430362956711
2023-08-08,MTSI,3,0.8053,0.014615714033806,106,bull,SELL,0,211.7,gemini-3.1-pro-preview,docs/research/acceptance_momentum_reports/2023-08-08_MTSI,,-0.027041357370095335,-0.013707234997195767,-0.013334122372899567,-0.04439526103371949,-0.01890160897993798,0.4125152631661433,0.10737197393722189,0.06641039236479328,-0.0020190689848569314,0.06842946134965021,-0.06978258039317786,-0.026377451964919252,0.39799488746428174,0.11740104386052751,-0.035657476139978765,-0.033628715647784656,-0.0020287604921941094,-0.1693472090823085,-0.08978479132959505,0.3235149391200993,0.13369479232164497,0.1430275715800637,0.0832978126752664,0.059729758904797314,-0.1693472090823085,-0.08978479132959505,0.32708285249623226,0.12036199314702503,0.08885545822919953
2023-06-20,AMKR,1,0.8836,0.1905453037528509,105,bull,SELL,0,190.3,gemini-3.1-pro-preview,docs/research/acceptance_momentum_reports/2023-06-20_AMKR,,0.1274961597542243,0.0033337931668735656,0.12416236658735072,-0.015957446808510634,-0.011614854184325618,0.8144559206907593,0.11363568855080047,0.0794930875576037,0.03963765117027638,0.039855436387327324,-0.07596638655462185,-0.0118073863764393,0.5228528398768633,0.0926848808878849,-0.14554531490015357,0.01938198372189269,-0.16492729862204625,-0.2654362416107382,-0.04696476550383366,0.5145853505069381,0.10719240841816274,0.14554531490015357,0.0621924863199522,0.08335282858020138,-0.3140939597315435,-0.10290744664584195,0.4288530550324018,0.11723734330505643,0.11193631253656176
2025-07-08,CORZ,4,0.8353,-0.0280998987372911,113,bull,SELL,0,195.7,gemini-3.1-pro-preview,docs/research/acceptance_momentum_reports/2025-07-08_CORZ,,0.036485480268056605,0.0002563856039484695,0.03622909466410813,-0.06850335070737157,-0.005880285065993585,0.7934965605464177,0.05798852556845529,0.05063291139240504,0.013973015415184482,0.03665989597722056,-0.09123563218390796,-0.024140637262596187,0.5925502020789729,0.10183339148598101,0.34772896500372313,0.07236483671441862,0.2753641282893045,-0.10324288550628724,-0.024140637262596187,0.4965318820261448,0.08631281730827373,0.12285927029039467,0.10221773547415326,0.02064153481624141,-0.40742358078602614,-0.050713568716449275,0.584498820705102,0.10893292587974804,0.13072800845758453
2023-05-18,ONTO,5,0.8731,-0.0229836201534314,105,bull,UNDERWEIGHT,0,216.8,gemini-3.1-pro-preview,docs/research/acceptance_momentum_reports/2023-05-18_ONTO,,0.08763194582752437,0.0033443218193110152,0.08428762400821335,-0.027086237801234758,-0.018386303397884607,0.5838935110713808,0.16243244599029216,0.05974905397331209,0.04433615211886676,0.015412901854445327,-0.06879344145428612,-0.018386303397884607,0.42216214692078907,0.11931039897582005,0.10027882891854205,0.05021260331565616,0.050066225602885886,-0.1151866151866151,-0.03964699971602692,0.43623761626601765,0.10619043373686514,0.22555267874925305,0.03635755577851027,0.18919512297074279,-0.22287472035794176,-0.10290744664584195,0.4566401266476055,0.120080347037189,0.05191448788076478
